6.04,6.07,6.50,6.90,7.36,7.72,8.13,7.47,8.93,10.34,12.51,11.51,99.47
6.04,6.06,6.47,6.89,7.29,7.71,8.17,7.13,8.01,9.27,10.19,11.19,94.43
6.04,6.07,6.45,6.90,7.29,7.71,8.13,7.13,8.71,9.14,9.79,10.70,94.04
6.03,6.07,6.48,6.93,7.31,7.70,8.13,7.00,7.91,8.80,10.14,16.28,98.76
6.04,6.07,6.52,6.94,7.57,7.76,8.19,7.14,7.88,9.13,10.02,12.38,95.65
6.07,6.12,6.56,7.06,7.58,8.72,8.82,7.09,7.84,9.08,10.23,12.61,97.79
6.06,6.10,6.91,7.17,7.40,7.83,8.31,7.00,8.85,9.86,10.98,11.91,98.39
6.07,6.13,6.46,6.95,7.59,8.10,8.90,7.45,8.64,9.88,11.60,12.52,100.29
6.05,6.11,6.68,7.37,7.91,8.04,8.40,6.95,8.23,9.95,11.31,15.68,102.68
6.06,6.10,6.82,6.94,7.38,7.95,8.35,6.96,8.43,8.86,9.71,11.43,95.00
6.04,6.08,6.49,6.96,7.37,7.81,8.32,6.94,8.10,8.94,9.86,10.69,93.62
6.04,6.06,6.52,6.97,7.38,7.83,8.36,6.99,12.32,8.82,9.94,10.89,98.13
6.05,6.06,6.50,6.96,7.38,7.83,8.36,7.00,7.91,8.71,10.11,10.42,93.28
6.04,6.06,6.50,6.91,7.35,7.79,8.25,6.93,7.82,9.76,9.70,12.15,95.27
6.04,6.04,6.52,6.94,7.34,7.78,8.28,6.91,7.87,8.71,10.09,10.76,93.30
6.06,6.10,6.53,6.91,7.37,7.82,8.27,7.22,8.23,9.87,9.58,10.37,94.35
6.05,6.11,6.55,7.01,7.41,7.79,8.24,6.89,7.85,8.86,10.07,15.92,98.75
6.04,6.08,6.60,6.94,7.41,7.79,8.27,7.01,8.35,8.84,9.39,10.42,93.15
6.04,6.07,6.59,6.96,7.34,7.75,8.29,6.99,7.80,9.01,10.13,11.27,94.23
6.05,6.09,6.57,6.94,7.39,7.84,8.37,7.63,8.35,8.72,14.22,10.73,98.91
6.03,6.07,6.53,6.95,7.36,7.92,8.32,6.89,7.77,8.89,9.69,10.93,93.37
6.04,6.07,6.50,6.99,7.37,7.87,8.32,6.94,7.84,8.90,9.88,10.84,93.58
6.03,6.11,6.49,7.42,7.33,7.81,8.27,6.92,8.00,13.12,9.63,10.46,97.60
6.04,6.07,6.49,6.99,7.36,7.75,8.26,7.39,8.24,9.27,10.09,10.49,94.44
6.03,6.06,6.47,6.94,7.33,7.80,8.22,6.89,7.93,9.92,10.51,11.32,95.44
6.04,6.07,6.51,6.90,7.33,7.73,8.24,7.08,12.62,8.61,9.69,12.24,99.07
6.04,6.07,6.51,6.91,7.32,7.76,8.25,7.21,7.80,9.18,10.56,11.29,94.91
6.04,6.07,6.51,6.91,7.33,7.79,8.28,7.49,8.42,8.81,9.62,11.17,94.44
6.03,6.04,6.51,6.91,7.35,7.79,8.29,6.89,8.10,8.78,10.29,10.89,93.86
6.03,6.07,6.49,6.92,7.32,7.79,8.35,7.59,7.91,9.66,10.21,10.84,95.18
6.04,6.11,6.54,6.94,7.33,7.79,8.31,6.91,7.81,9.28,9.65,10.70,93.44
6.04,6.05,6.52,6.89,7.32,7.80,8.27,6.98,8.24,9.02,9.78,10.78,93.69
6.05,6.10,6.51,6.95,7.33,7.79,8.25,6.96,7.79,9.33,10.79,10.91,94.77
6.04,6.05,6.47,6.93,7.34,7.77,8.27,7.04,7.75,9.01,10.35,11.04,94.07
6.04,6.07,6.48,6.90,7.34,7.76,8.26,7.01,8.40,8.97,15.00,11.09,99.32
6.04,6.07,6.49,6.93,7.33,7.83,8.21,6.97,7.79,9.18,10.07,10.88,93.80
6.04,6.07,6.48,6.89,7.33,7.77,8.26,7.21,7.76,8.85,10.11,10.63,93.41
6.04,6.07,6.50,6.89,7.33,7.79,8.26,7.13,7.78,8.62,9.80,11.32,93.53
6.04,6.07,6.49,6.97,7.30,7.77,8.27,7.08,8.21,8.95,11.53,11.26,95.93
6.04,6.07,6.48,6.91,7.33,7.74,8.27,6.93,8.19,8.77,14.93,10.93,98.62
6.03,6.10,6.47,6.96,7.32,7.82,8.24,7.03,7.90,8.94,10.79,10.92,94.52
6.04,6.09,6.57,6.91,7.34,7.79,8.28,6.91,7.97,8.72,9.83,10.85,93.31
6.03,6.07,15.13,6.93,7.36,8.11,8.37,7.18,7.85,9.50,9.84,11.00,103.38
6.04,6.07,6.51,6.97,7.38,7.83,8.37,7.03,7.85,8.81,10.20,12.39,95.47
6.04,6.06,6.51,6.98,7.41,7.84,8.38,6.96,8.00,8.99,10.04,10.82,94.03
6.04,6.10,6.49,6.94,7.40,7.83,8.33,6.98,7.97,8.95,14.60,10.80,98.42
6.04,6.07,6.49,6.88,7.32,7.77,8.29,6.92,7.90,8.95,9.58,10.33,92.55
6.04,6.07,6.48,6.95,7.37,7.78,8.27,7.10,7.93,9.12,9.64,10.92,93.67
6.04,6.08,6.50,6.96,7.34,7.82,8.24,7.14,8.02,9.29,10.43,12.23,96.07
6.04,6.08,6.48,6.89,7.33,7.82,8.29,7.10,7.84,8.87,10.07,11.86,94.71
